,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Proteobacteria_8598,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. YS12,,Acidovorax sp. YS12
Proteobacteria_8624,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,Diaphorobacter sp. HDW4B,,Diaphorobacter sp. HDW4B
Proteobacteria_8711,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Limnohabitans sp. 103DPR2,,Limnohabitans sp. 103DPR2
Proteobacteria_8712,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Limnohabitans sp. 63ED37-2,,Limnohabitans sp. 63ED37-2
Proteobacteria_8722,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax sediminis,,Rhodoferax sediminis
Proteobacteria_8752,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga sp. BPS33,,Hydrogenophaga sp. BPS33
Proteobacteria_8755,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,,,Hydrogenophaga
Proteobacteria_8815,Bacteria,Proteobacteria,,Betaproteobacteria,,,,,,Betaproteobacteria
Proteobacteria_8831,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,Methylibium,Methylibium petroleiphilum,Methylibium petroleiphilum PM1,Methylibium petroleiphilum PM1
Proteobacteria_9332,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter sp. MWH-UH24A,,Polynucleobacter sp. MWH-UH24A
Proteobacteria_9409,Bacteria,Proteobacteria,,,,,,,,
Proteobacteria_9413,Bacteria,Proteobacteria,,,,,,,,
Proteobacteria_9682,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,Acidihalobacter yilgarnensis,,Acidihalobacter yilgarnensis
Proteobacteria_9703,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Permianibacter,Permianibacter aggregans,,Permianibacter aggregans
Proteobacteria_9704,Bacteria,Proteobacteria,,Gammaproteobacteria,,,,,,Gammaproteobacteria
Proteobacteria_9727,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella endosymbiont of Amblyomma nuttalli,,Coxiella endosymbiont of Amblyomma nuttalli
Proteobacteria_9929,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas spadix,Pseudoxanthomonas spadix BD-a59,Pseudoxanthomonas spadix BD-a59
Spirochaetes_32,Bacteria,Spirochaetes,,Spirochaetia,Leptospirales,Leptospiraceae,,,,Leptospiraceae
Verrucomicrobia_17,Bacteria,Verrucomicrobia,PVC group,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,,,Luteolibacter
Verrucomicrobia_23,Bacteria,Verrucomicrobia,PVC group,Opitutae,Puniceicoccales,Puniceicoccaceae,,,,Puniceicoccaceae
Verrucomicrobia_24,Bacteria,Verrucomicrobia,PVC group,Opitutae,Opitutales,Opitutaceae,Lacunisphaera,Lacunisphaera limnophila,,Lacunisphaera limnophila
Verrucomicrobia_28,Bacteria,Verrucomicrobia,PVC group,Opitutae,Opitutales,Opitutaceae,,,,Opitutaceae
Verrucomicrobia_42,Bacteria,Verrucomicrobia,PVC group,,,,,,,PVC group
Verrucomicrobia_43,Bacteria,Verrucomicrobia,PVC group,,,,,,,PVC group
Verrucomicrobia_44,Bacteria,Verrucomicrobia,PVC group,,,,,,,PVC group
Bacteroidetes_1003,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium indicum,Flavobacterium indicum GPTSA100-9 = DSM 17447,Flavobacterium indicum GPTSA100-9 = DSM 17447
Bacteroidetes_362,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cytophagaceae,Aquirufa,Aquirufa sp. 9H-EGSE,,Aquirufa sp. 9H-EGSE
Bacteroidetes_365,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,,,,,Cytophagales
Bacteroidetes_433,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Bernardetiaceae,Bernardetia,Bernardetia litoralis,Bernardetia litoralis DSM 6794,Bernardetia litoralis DSM 6794
Cyanobacteria_153,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,
Proteobacteria_10212,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas lalkuanensis,,Pseudomonas lalkuanensis
Proteobacteria_11564,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,,Acinetobacter
Proteobacteria_4078,Bacteria,Proteobacteria,,Gammaproteobacteria,,,Candidatus Nardonella,Candidatus Nardonella dryophthoridicola,,Candidatus Nardonella dryophthoridicola
Proteobacteria_7680,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Aquisediminimonas,Aquisediminimonas profunda,,Aquisediminimonas profunda
Proteobacteria_7681,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paeninsulae,,Sphingomonas paeninsulae
Proteobacteria_8524,Bacteria,Proteobacteria,,Betaproteobacteria,Neisseriales,Neisseriaceae,Aquella,Aquella oligotrophica,,Aquella oligotrophica
Proteobacteria_8606,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas koreensis,,Comamonas koreensis
Proteobacteria_8695,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira,Simplicispira suum,,Simplicispira suum
Proteobacteria_8789,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax koreense,,Rhodoferax koreense
Proteobacteria_8813,Bacteria,Proteobacteria,,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla filiformis,,Vitreoscilla filiformis
Proteobacteria_8835,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,Aquabacterium,Aquabacterium olei,,Aquabacterium olei
Proteobacteria_9619,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,Limnobacter sp. SAORIC-580,,Limnobacter sp. SAORIC-580
Proteobacteria_9699,Bacteria,Proteobacteria,,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,Salinisphaera sp. LB1,,Salinisphaera sp. LB1
Actinobacteria_1107,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium holsaticum,,Mycobacterium holsaticum
Actinobacteria_2059,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Microbacteriaceae,Aurantimicrobium,Aurantimicrobium minutum,,Aurantimicrobium minutum
Actinobacteria_477,Bacteria,Actinobacteria,Terrabacteria group,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter woesei,Conexibacter woesei DSM 14684,Conexibacter woesei DSM 14684
Bacteroidetes_1019,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. SHINM13,,Flavobacterium sp. SHINM13
Bacteroidetes_153,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Arachidicoccus,Arachidicoccus sp. B3-10,,Arachidicoccus sp. B3-10
Bacteroidetes_167,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter,,,Ferruginibacter
Bacteroidetes_307,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,,Pedobacter
Bacteroidetes_308,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,,Pedobacter
Bacteroidetes_476,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus,Candidatus Amoebophilus asiaticus,Candidatus Amoebophilus asiaticus 5a2,Candidatus Amoebophilus asiaticus 5a2
Bacteroidetes_496,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Alkalitalea,Alkalitalea saponilacus,,Alkalitalea saponilacus
Bacteroidetes_506,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,,,Dysgonomonas
Bacteroidetes_511,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Dysgonomonadaceae,,,,Dysgonomonadaceae
Bacteroidetes_522,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,Bacteroides
Bacteroidetes_728,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,,Bacteroides nordii
Bacteroidetes_731,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. CBA7301,,Bacteroides sp. CBA7301
Bacteroidetes_754,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,,Bacteroides caccae
Bacteroidetes_787,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,,,,,Bacteroidales
Bacteroidetes_841,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,,Porphyromonas
Bacteroidetes_915,Bacteria,Bacteroidetes,FCB group,,Candidatus Sulfidibacteriales,,Candidatus Sulfidibacterium,Candidatus Sulfidibacterium hydrothermale,,Candidatus Sulfidibacterium hydrothermale
Candidatus_Saccharibacteria_1,Bacteria,Candidatus Saccharibacteria,Bacteria candidate phyla,,,,Candidatus Saccharimonas,Candidatus Saccharimonas aalborgensis,,Candidatus Saccharimonas aalborgensis
Chlamydiae_69,Bacteria,Chlamydiae,PVC group,Chlamydiia,Parachlamydiales,Parachlamydiaceae,,,,Parachlamydiaceae
Cyanobacteria_130,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Synechococcales,,,,,Synechococcales
Cyanobacteria_226,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,Cyanobacteria/Melainabacteria group
Firmicutes_Tenericutes_1062,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Peptococcaceae,Desulfosporosinus,Desulfosporosinus meridiei,Desulfosporosinus meridiei DSM 13257,Desulfosporosinus meridiei DSM 13257
Firmicutes_Tenericutes_1063,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Peptococcaceae,Desulfosporosinus,Desulfosporosinus orientis,Desulfosporosinus orientis DSM 765,Desulfosporosinus orientis DSM 765
Firmicutes_Tenericutes_149,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus odorifer,,Paenibacillus odorifer
Firmicutes_Tenericutes_427,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,,,Anaerocolumna
Firmicutes_Tenericutes_509,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,[Clostridium] saccharolyticum WM1,[Clostridium] saccharolyticum WM1
Firmicutes_Tenericutes_552,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,,,,Oscillospiraceae
Firmicutes_Tenericutes_621,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp. C5S11,,Clostridium sp. C5S11
Firmicutes_Tenericutes_913,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,,,,Eubacteriales Family XIII. Incertae Sedis
Proteobacteria_11207,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,,,,,Oceanospirillales
Proteobacteria_11570,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,,Acinetobacter baumannii
Proteobacteria_3723,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia sp. R33,,Providencia sp. R33
Proteobacteria_4486,Bacteria,Proteobacteria,,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp. FDAARGOS 1417,,Aeromonas sp. FDAARGOS 1417
Proteobacteria_464,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia plymuthica,,Serratia plymuthica
Proteobacteria_505,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia fonticola,,Serratia fonticola
Proteobacteria_5294,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,Legionella
Proteobacteria_554,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica,,Yersinia enterocolitica
Proteobacteria_5604,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Trichlorobacter,Trichlorobacter lovleyi,Trichlorobacter lovleyi SZ,Trichlorobacter lovleyi SZ
Proteobacteria_5643,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio desulfuricans,,Desulfovibrio desulfuricans
Proteobacteria_5745,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Thiovulaceae,Sulfuricurvum,Sulfuricurvum kujiense,Sulfuricurvum kujiense DSM 16994,Sulfuricurvum kujiense DSM 16994
Proteobacteria_5747,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,Arcobacter suis,Arcobacter suis CECT 7833,Arcobacter suis CECT 7833
Proteobacteria_5752,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,,,Arcobacter
Proteobacteria_5799,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Malaciobacter,Malaciobacter marinus,,Malaciobacter marinus
Proteobacteria_5816,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,Sulfurospirillum sp. UCH001,,Sulfurospirillum sp. UCH001
Proteobacteria_6587,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,,,,Bradyrhizobiaceae
Proteobacteria_7565,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Porphyrobacter,Porphyrobacter sp. HT-58-2,,Porphyrobacter sp. HT-58-2
Proteobacteria_8183,Bacteria,Proteobacteria,,Alphaproteobacteria,Holosporales,Holosporaceae,Candidatus Hydrogenosomobacter,Candidatus Hydrogenosomobacter endosymbioticus,,Candidatus Hydrogenosomobacter endosymbioticus
Proteobacteria_8193,Bacteria,Proteobacteria,,,,,,,,Proteobacteria
Proteobacteria_8232,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Candidatus Methylopumilus,Candidatus Methylopumilus turicensis,,Candidatus Methylopumilus turicensis
Proteobacteria_8703,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax radicis,,Acidovorax radicis
Proteobacteria_8769,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Serpentinimonas,,,Serpentinimonas
Proteobacteria_8814,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,Ideonella,Ideonella dechloratans,,Ideonella dechloratans
Proteobacteria_8820,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,Roseateles,Roseateles depolymerans,,Roseateles depolymerans
Proteobacteria_8829,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,Rubrivivax,Rubrivivax gelatinosus,Rubrivivax gelatinosus IL144,Rubrivivax gelatinosus IL144
Proteobacteria_8845,Bacteria,Proteobacteria,,Betaproteobacteria,,,,,,Betaproteobacteria
Proteobacteria_9297,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter necessarius,,Polynucleobacter necessarius
Proteobacteria_9313,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter necessarius,,Polynucleobacter necessarius
Proteobacteria_9320,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter sp. MG-Unter2-18,,Polynucleobacter sp. MG-Unter2-18
Proteobacteria_9321,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter duraquae,,Polynucleobacter duraquae
Proteobacteria_9333,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,,,Polynucleobacter
Proteobacteria_9334,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter sp. MWH-CaK5,,Polynucleobacter sp. MWH-CaK5
Proteobacteria_9449,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum sp. meg3,,Herbaspirillum sp. meg3
Proteobacteria_9455,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Noviherbaspirillum sp. UKPF54,,Noviherbaspirillum sp. UKPF54
Proteobacteria_9484,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,,Alcaligenaceae
Proteobacteria_9488,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Oligella,,,Oligella
Proteobacteria_9499,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,,,Alcaligenaceae
Proteobacteria_9614,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pigmentiphaga,Pigmentiphaga aceris,,Pigmentiphaga aceris
Proteobacteria_9616,Bacteria,Proteobacteria,,Betaproteobacteria,,,,,,Betaproteobacteria
Proteobacteria_9724,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,,,Coxiella
Spirochaetes_31,Bacteria,Spirochaetes,,Spirochaetia,Leptospirales,Leptospiraceae,Turneriella,Turneriella parva,Turneriella parva DSM 21527,Turneriella parva DSM 21527
Spirochaetes_98,Bacteria,Spirochaetes,,Spirochaetia,Spirochaetales,Borreliaceae,,,,Borreliaceae
Actinobacteria_179,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces liangshanensis,,Streptomyces liangshanensis
Actinobacteria_2009,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. C1-1,,Arthrobacter sp. C1-1
Actinobacteria_2037,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Microbacteriaceae,Curtobacterium,Curtobacterium sp. TXMA1,,Curtobacterium sp. TXMA1
Actinobacteria_306,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis dassonvillei,,Nocardiopsis dassonvillei
Actinobacteria_405,Bacteria,Actinobacteria,Terrabacteria group,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola,Actinomarinicola tropica,,Actinomarinicola tropica
Bacteroidetes_1578,Bacteria,Bacteroidetes,FCB group,,,,,,,FCB group
Bacteroidetes_298,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter sp. D749,,Pedobacter sp. D749
Bacteroidetes_422,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,Rufibacter tibetensis,,Rufibacter tibetensis
Bacteroidetes_795,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,,,,,Bacteroidales
Cyanobacteria_111,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Synechococcales,Prochlorococcaceae,Cyanobium,Cyanobium gracile,Cyanobium gracile PCC 6307,Cyanobium gracile PCC 6307
Cyanobacteria_149,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris sp. 'Moss Beach',,Acaryochloris sp. 'Moss Beach'
Cyanobacteria_183,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Chroococcales,Microcystaceae,Microcystis,,,Microcystis
Cyanobacteria_196,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,
Cyanobacteria_21,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Pseudanabaenales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya boryana,Leptolyngbya boryana IAM M-101,Leptolyngbya boryana IAM M-101
Cyanobacteria_30,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Pseudanabaenales,,,,,Pseudanabaenales
Cyanobacteria_317,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Oscillatoriales,Gomontiellaceae,Crinalium,Crinalium epipsammum,Crinalium epipsammum PCC 9333,Crinalium epipsammum PCC 9333
Cyanobacteria_322,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria acuminata,Oscillatoria acuminata PCC 6304,Oscillatoria acuminata PCC 6304
Firmicutes_Tenericutes_1002,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Selenomonadales,Sporomusaceae,Pelosinus,Pelosinus sp. UFO1,,Pelosinus sp. UFO1
Firmicutes_Tenericutes_1176,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus halodurans,,Alkalihalobacillus halodurans
